f1-score,Precision,Recall,Accuracy,Loss,f1-scoreCV,PrecisionCV,RecallCV,AccuracyCV,LossCV,Method,Combination,Token,Ngram,Lemma,Stem,Embedding,Time (sec),
72.105,74.538,71.15,83.684,0.435,80.286,83.335,78.769,87.5,0.348,CNN,['Tokenization'],True,False,False,False,False,65.042,50
71.182,77.142,69.573,83.947,0.402,80.281,85.499,77.58,88.2,0.346,CNN,['Lemmatization'],False,False,True,False,True,69.42,50
71.903,82.294,68.592,85.263,0.402,78.809,85.02,75.766,87.4,0.358,CNN,['Stemming'],False,False,False,True,True,78.72,50
69.932,75.212,69.702,83.421,0.492,83.645,84.809,82.966,88.595,0.328,Dplearn,['Tokenization'],True,False,False,False,False,88.043,
68.675,84.924,65.566,85.263,0.741,78.034,79.813,79.774,84.385,0.456,Dplearn,['N-gram'],False,True,False,False,False,549.706,
72.612,75.317,70.412,83.158,0.432,81.109,85.624,78.355,87.717,0.365,Dplearn,['Lemmatization'],False,False,True,False,False,86.227,
74.707,73.121,76.845,83.421,0.454,82.092,83.737,81.157,87.807,0.338,Dplearn,['Stemming'],False,False,False,True,False,80.422,
72.71,81.771,68.83,85.526,0.554,79.346,83.285,78.085,86.403,0.412,Dplearn,"['N-gram', 'Lemmatization']",False,True,True,False,False,620.051,
77.113,82.604,73.175,86.316,0.517,79.72,85.308,76.769,86.753,0.45,Dplearn,"['N-gram', 'Stemming']",False,True,False,True,False,635.954,
55.186,56.21,56.539,74.737,0.686,61.646,66.047,62.301,74.6,0.657,Embedding,['Tokenization'],True,False,False,False,True,46.189,
58.447,65.949,56.502,78.421,0.602,57.642,66.105,56.64,74.3,0.681,Embedding,['Lemmatization'],False,False,True,False,True,47.447,
56.49,58.4,55.436,75.263,0.698,60.02,69.122,57.557,76.8,0.648,Embedding,['Stemming'],False,False,False,True,True,50.553,
59.668,59.088,60.658,75.263,0.626,63.285,73.703,64.737,78.3,0.573,LSTM,['Tokenization'],True,False,False,False,True,297.844,
63.18,65.902,61.474,78.421,0.564,68.256,74.328,67.246,80.2,0.557,LSTM,['Lemmatization'],False,False,True,False,True,336.784,
48.387,55.479,57.942,67.895,0.894,56.594,68.641,61.491,70.6,0.686,LSTM,['Stemming'],False,False,False,True,True,365.56,
75.756,79.359,73.676,86.842,,82.77,87.591,79.685,89.034,,Logistic-Regression,['Tokenization'],True,False,False,False,False,84.072,
66.384,76.284,64.61,83.158,,71.746,87.838,67.266,85.085,,ComplementNB,['Tokenization'],True,False,False,False,False,5.1,
57.042,71.744,52.241,78.421,,59.71,77.348,54.556,78.246,,GaussianNB,['Tokenization'],True,False,False,False,False,6.06,
60.438,87.178,56.112,82.632,,60.132,91.131,55.807,80.962,,MultinomialNB,['Tokenization'],True,False,False,False,False,5.104,
66.986,86.671,66.176,86.579,,68.988,90.785,65.542,85.085,,Random-Forest,['Tokenization'],True,False,False,False,False,13.444,
74.249,77.854,72.106,85.789,,81.343,85.647,78.53,88.243,,SVM,['Tokenization'],True,False,False,False,False,22.315,
75.673,80.492,73.557,86.842,,82.076,86.677,79.515,88.948,,Logistic-Regression,['N-gram'],False,True,False,False,False,598.986,
69.018,82.443,67.146,85.789,,72.006,88.981,68.8,85.875,,ComplementNB,['N-gram'],False,True,False,False,False,8.707,
67.628,79.157,63.627,83.947,,69.697,85.835,64.259,83.329,,GaussianNB,['N-gram'],False,True,False,False,False,19.139,
63.378,83.127,60.115,83.947,,67.035,88.614,63.056,83.77,,MultinomialNB,['N-gram'],False,True,False,False,False,9.124,
61.706,90.432,62.551,84.737,,68.665,91.769,66.845,85.611,,Random-Forest,['N-gram'],False,True,False,False,False,77.408,
73.829,80.652,71.622,86.579,,82.119,87.529,79.232,89.035,,SVM,['N-gram'],False,True,False,False,False,65.462,
77.172,79.437,75.61,86.842,,81.916,86.374,78.97,88.507,,Logistic-Regression,['Lemmatization'],False,False,True,False,False,87.58,
65.724,76.715,63.031,82.895,,71.212,88.408,66.401,84.648,,ComplementNB,['Lemmatization'],False,False,True,False,False,7.376,
60.855,75.075,55.628,80,,61.754,76.968,56.61,78.683,,GaussianNB,['Lemmatization'],False,False,True,False,False,8.21,
59.981,87.713,55.018,82.105,,60.322,91.606,55.715,80.963,,MultinomialNB,['Lemmatization'],False,False,True,False,False,7.256,
64.219,79.2,64.367,85,,69.673,89.977,65.81,85.086,,Random-Forest,['Lemmatization'],False,False,True,False,False,15.211,
74.207,76.589,72.591,85.263,,82.158,87.181,78.959,88.944,,SVM,['Lemmatization'],False,False,True,False,False,23.965,
75.561,77.875,74.041,86.053,,83.612,88.014,80.587,89.471,,Logistic-Regression,['Stemming'],False,False,False,True,False,76.277,
66.158,74.839,64.491,82.895,,72.034,87.841,67.319,84.823,,ComplementNB,['Stemming'],False,False,False,True,False,9.79,
59.048,73.003,54.178,79.211,,60.917,74.534,56.143,77.893,,GaussianNB,['Stemming'],False,False,False,True,False,10.774,
59.849,77.376,55.633,81.316,,61.779,90.682,57.03,81.488,,MultinomialNB,['Stemming'],False,False,False,True,False,9.847,
67.149,91.346,65.569,86.053,,70.903,90.11,67.144,85.525,,Random-Forest,['Stemming'],False,False,False,True,False,17.619,
73.914,76.233,72.472,85.263,,82.675,87.074,79.602,88.856,,SVM,['Stemming'],False,False,False,True,False,25.929,
76.622,82.482,73.915,87.632,,82.626,87.776,79.341,89.033,,Logistic-Regression,"['N-gram', 'Lemmatization']",False,True,True,False,False,666.531,
67.972,83.575,64.474,85.263,,70.469,88.893,66.187,84.822,,ComplementNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,15.343,
66.301,80.118,61.93,83.684,,67.671,85.259,61.985,82.542,,GaussianNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,25.255,
64.805,89.161,59.985,84.211,,61.105,87.031,56.823,80.964,,MultinomialNB,"['N-gram', 'Lemmatization']",False,True,True,False,False,15.334,
60.781,78.966,61.219,83.947,,69.513,90.503,66.517,85.349,,Random-Forest,"['N-gram', 'Lemmatization']",False,True,True,False,False,75.53,
