f1-score	Precision	Recall	Accuracy	Loss	Combination	Token	Ngram	Lemma	Stem
66.172	70.978	62.914	0.9225589	0.3055307019991104	['Tokenization']	True	False	False	False
67.096	71.855	64.039	0.9326599	0.3362988709324739	['N-gram']	False	True	False	False
65.925	69.361	63.339	0.9225589	0.2811554820850642	['Lemmatization']	False	False	True	False
64.058	62.65	65.907	0.8922559	0.26955452970282395	['Stemming']	False	False	False	True
67.434	69.661	65.899	0.9326599	0.23227971959043833	['Tokenization', 'N-gram']	True	True	False	False
65.209	69.722	61.946	0.9191919	0.3391056215321576	['Tokenization', 'Lemmatization']	True	False	True	False
65.61	71.337	61.865	0.9191919	0.33692914188560413	['N-gram', 'Lemmatization']	False	True	True	False
65.713	71.303	61.946	0.9191919	0.3817556673654603	['Tokenization', 'Stemming']	True	False	False	True
65.755	69.737	62.795	0.9191919	0.2627065499949736	['N-gram', 'Stemming']	False	True	False	True
65.737	69.332	62.996	0.9225589	0.2736704277269768	['Lemmatization', 'Stemming']	False	False	True	True
68.801	70.129	67.774	0.94276094	0.2240323267676413	['Tokenization', 'N-gram', 'Lemmatization']	True	True	True	False
66.719	67.087	66.412	0.9259259	0.22626449360891623	['Tokenization', 'N-gram', 'Stemming']	True	True	False	True
66.608	69.349	64.731	0.9259259	0.2603552531112324	['Tokenization', 'Lemmatization', 'Stemming']	True	False	True	True
64.585	71.143	60.615	0.9124579	0.45246929627677007	['N-gram', 'Lemmatization', 'Stemming']	False	True	True	True
67.086	69.509	65.356	0.9292929	0.24799230905494304	['Tokenization', 'N-gram', 'Lemmatization', 'Stemming']	True	True	True	True
