f1-score	Precision	Recall	Accuracy	f1-scoreCV	PrecisionCV	RecallCV	AccuracyCV	Method	Combination	Token	Ngram	Lemma	Stem	Time
75.756	79.359	73.676	86.842	82.77012727101294	87.59147693194956	79.68506875067209	89.0337895980965	Logistic-Regression	['Tokenization']	True	False	False	False	84.072
66.384	76.284	64.61	83.158	71.74556195956532	87.8381322180625	67.2664297759671	85.08485522384706	ComplementNB	['Tokenization']	True	False	False	False	5.1
57.042	71.744	52.241	78.421	59.70976342992823	77.34840537519479	54.5559608825377	78.24639809165384	GaussianNB	['Tokenization']	True	False	False	False	6.06
60.438	87.178	56.112	82.632	60.1315444662319	91.13090942902666	55.80708807240343	80.96201364733611	MultinomialNB	['Tokenization']	True	False	False	False	5.104
66.986	86.671	66.176	86.579	68.98838380095953	90.78474821179906	65.54193699795404	85.08516625455097	Random-Forest	['Tokenization']	True	False	False	False	13.444
74.249	77.854	72.106	85.789	81.34304891390552	85.64654734035402	78.53021209746312	88.24338714164512	SVM	['Tokenization']	True	False	False	False	22.315
75.673	80.492	73.557	86.842	82.07640974617948	86.67744206397997	79.5151732848231	88.94791704465538	Logistic-Regression	['N-gram']	False	True	False	False	598.986
69.018	82.443	67.146	85.789	72.00640635929284	88.98148544416932	68.80035215581552	85.87495096946543	ComplementNB	['N-gram']	False	True	False	False	8.707
67.628	79.157	63.627	83.947	69.69748165802073	85.8348726210171	64.25872524552145	83.32860955451764	GaussianNB	['N-gram']	False	True	False	False	19.139
63.378	83.127	60.115	83.947	67.03537022148204	88.61385835412986	63.05626471353014	83.77028827362408	MultinomialNB	['N-gram']	False	True	False	False	9.124
61.706	90.432	62.551	84.737	68.6652493537631	91.769141575477	66.84458666152226	85.61148204402467	Random-Forest	['N-gram']	False	True	False	False	77.408
73.829	80.652	71.622	86.579	82.11949684407801	87.52883561622143	79.23234779325298	89.03532963206797	SVM	['N-gram']	False	True	False	False	65.462
77.172	79.437	75.61	86.842	81.91553572391422	86.3740979270662	78.9697365437342	88.50685390715043	Logistic-Regression	['Lemmatization']	False	False	True	False	87.58
