PMCID	Abbreviations	Abstract	Acknowledgments	Article	Author Contributions	Case study	Competing Interests	Conclusion	Discussion	Figure	Introduction	Methods	References	Results	Supplementary material	Table	Title	
PMC5343543	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3400275	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	
PMC3991677	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	
PMC4345010	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5813712	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC4768652	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3245821	0	5	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	
PMC4700960	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
PMC6098107	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC6305908	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	
PMC6048024	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5552293	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
PMC5070160	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	
PMC5446379	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5100577	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4404242	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6363790	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5310065	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
PMC4965706	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	
PMC4937366	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5863512	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	
PMC3897548	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	
PMC4768232	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5649132	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
PMC3420890	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC1334386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
PMC6560035	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4203856	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	
PMC3032732	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5429159	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PMC4416113	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6212436	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	
PMC4629470	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC4444277	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4426371	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	
PMC3949982	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6145224	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC5015267	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6281224	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC5342076	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
